nro_conabip,nombre_BP,fecha_fundacion,id_depto,email
3952,Bib.Pop. Manuel Belgrano del Barrio de Villa París,1998-05-16,6028,bib_manuelbelgrano_glew@yahoo.com.ar
3063,Bib.Pop. Dr. Estanislao S. Zeballos,2001-09-15,6035,spebpop@gmail.com
1663,Bib.Pop. Bartolomé Mitre,1922-04-10,6056,bibliotecabmitre@yahoo.com.ar
3587,Bib.Pop. Eduardo Mallea,1980-01-01,6056,bibliotecamallea@yahoo.com.ar
3795,Bib.Pop. Don Germán García,1996-11-20,6056,bpggbb@yahoo.com.ar
3929,Bib.Pop. Rosario Sur,2000-09-16,6056,biblioteca_rosariosur@yahoo.com.ar
1465,Bib.Pop. Mariano Moreno,1925-08-24,6056,bibliomarianomorenoiw@gmail.com
1469,Bib.Pop.Mun. Fray Luis de Bolaños,,6070,
3033,Bib.Pop. José Ingenieros,1984-05-12,6091,bibliotecadeplatanos@yahoo.com.ar
2490,Bib.Pop. Almafuerte,1943-06-06,6098,
1478,Bib.Pop. D.F.Sarmiento,1926-05-26,6105,cultural_07@yahoo.com.ar
4024,Bib.Pop. Jeppener,2002-03-22,6119,
1312,Bib.Pop. Coronel Dorrego,1928-05-24,6189,
2151,Bib.Pop.Pub. Bartolomé Mitre,1924-11-18,6245,
861,Bib.Pop. Juan Bautista Alberdi,1929-07-09,6252,alberdibiblio@yahoo.com.ar
3916,Cen. Cult.  y Bib.Pop. Poetisa Alfonsina Storni,2000-07-02,6274,
4122,Bib.Pop. y Cen.Cul. Centenario,1996-09-21,6357,
3194,Bib.Pop.Pub.Mun. D.F.Sarmiento,1935-08-25,6392,biblio@servicoopsa.com.ar
2998,Bib.Pub. Mariano Moreno,1956-10-25,6399,
4002,Soc.y Bib.Pop. La tradición,2000-04-16,6410,bibliotecalatradicion@yahoo.com.ar
1054,Bib.Pop. Paz y trabajo,1923-04-12,6413,
1874,Bib.Pop. Manuel Belgrano,1929-02-19,6413,armando_de_miguel@hotmail.com
3696,Bib.Pop. Las Toninas,1985-09-01,6420,biblo093@yahoo.com.ar
2880,Bib.Pop. Alfonsina Storni,1963-11-03,6427,
3241,Bib.Pop. Ceferino Namuncura,1980-01-01,6427,
3762,Bib. Pop. Villa Sahores,1999-03-30,6427,biblioteca303@yahoo.com.ar
3730,Bib. Pop. Madre Teresa,1998-02-17,6427,
4041,Bib. Pop. Virrey del Pino,1999-12-06,6427,biblioteca308@yahoo.com.ar
4288,Bib.Pop. Del otro lado del árbol,2011-02-01,6441,delotroladodelarbol@hotmail.com
4066,Bib. Pop. Tupac Amaru infantil y juvenil,1999-10-12,6441,bibliotecatupacamaru@yahoo.com.ar
249,Bib.Pop. Alejo Iglesias,1920-06-08,6441,
4117,Cen. y Bib.Pop. Osvaldo Pugliese,1999-04-30,6434,
2713,Bib. Pp. Soc. Bomberos Voluntarios de Lanús,1945-10-12,6434,
87,Bib.Pop. D.F.Sarmiento,1916-08-20,6462,bibliotecapopular@live.com.ar
3153,Bib.Pop. Mariano Moreno,1988-06-20,6462,nuevabibliomatienzo@hotmail.com
3946,Asoc.Bib.Pop.Mun. Jullian de Castiglioni,1980-01-01,6469,
175,Bib.Pop. D.F.Sarmiento,1912-03-16,6483,ccplbsarmiento@yahoo.com.ar
4121,Bib.Pop. de la ciudad,2003-01-25,6490,bibliotecapopulardelaciudad@gmail.com
3754,Bib.Pop. San José,1980-01-01,6490,bibliotecasanjose2000@yahoo.com.ar
3656,Bib.Pop. Ernesto Sábato,1996-05-25,6497,
2662,Bib.Pop.Mun. Manuel Belgrano,1950-09-20,6547,bp_manuelbelgrano@hotmail.com
1710,Bib.Pop. D.F.Sarmiento,1932-09-11,6581,
2646,Bib.Pop. Nuestra Señora de Luján,1952-06-29,6609,bibliotecamadero@live.com.ar
1633,Bib.Pop. D.F.Sarmiento,1931-12-03,6609,
3966,Bib.Pop. P.U.M.A.,2002-03-29,6638,bibliopuma@yahoo.com.ar
2887,Bib.Pop. Manuel Belgrano,1970-06-20,6644,biblioteca@telpin.com.ar
3968,Casa de la Cult. y Bib.Pop. José Hernández,1990-04-09,6651,casadelacultura2002@yahoo.com.ar
2209,Bib.Pop. Mariano Moreno,1941-07-19,6655,
3752,Bib.Pop. de Ezpeleta Alfonsina Storni,1998-08-17,6658,bastorni@yahoo.com.ar
3829,Bib.Pop. Juan Bautista Alberdi de Rojas,1932-02-28,6686,
