Cueanexo,Nombre_EE,Sector,Ámbito,Código de localidad,Localidad,Primario,Secundario,Jardín,id_depto
020036800,ESCUELA DEL PARQUE,Privado,Urbano,02106001,CIUDAD DE BUENOS AIRES,1,0,1,2000
020064200,ESCUELA PRIMARIA SEPTIEMBRE JARDINAR,Privado,Urbano,02102001,CIUDAD DE BUENOS AIRES,1,0,1,2000
020073300,INSTITUTO MARIE MANOOGIAN,Privado,Urbano,02114001,CIUDAD DE BUENOS AIRES,1,1,1,2000
020074800,COLEGIO ESTEBAN ECHEVERRIA,Privado,Urbano,02101001,CIUDAD DE BUENOS AIRES,1,1,1,2000
020075300,INSTITUTO SUMMA,Privado,Urbano,02106001,CIUDAD DE BUENOS AIRES,1,1,1,2000
020090900,JIC Nº 05 MARTHA A. SALOTTI DE 08,Estatal,Urbano,02107001,CIUDAD DE BUENOS AIRES,0,0,1,2000
020139100,INSTITUTO SANTA MARIA,Privado,Urbano,02106001,CIUDAD DE BUENOS AIRES,1,1,1,2000
020143100,COLEGIO SANTA CATALINA DE BELGRANO,Privado,Urbano,02113001,CIUDAD DE BUENOS AIRES,1,1,1,2000
020176900,INSTITUTO GUSTAVO A. BECQUER,Privado,Urbano,02109001,CIUDAD DE BUENOS AIRES,1,0,1,2000
020311500,JIC N° 06 DE 17,Estatal,Urbano,02111001,CIUDAD DE BUENOS AIRES,0,0,1,2000
060021400,JARDÍN MUNICIPAL PIETRO TESTA,Estatal,Urbano,06840002,CASEROS,0,0,1,6840
060022100,JARDÍN DE INFANTES Nº903 TAMBOR DE TACUARI,Estatal,Rural,06351007,GERMANIA,0,0,1,6351
060035900,JARDÍN DE INFANTES Nº915,Estatal,Urbano,06833027,TRES ARROYOS,0,0,1,6833
060111100,JARDÍN DE INFANTES INMACULADA CONCEPCION,Privado,Urbano,06840005,CIUDADELA,0,0,1,6840
060200200,JARDÍN DE INFANTES Nº906,Estatal,Rural,06574008,JOSE JUAN ALMEYRA,0,0,1,6574
060212000,JARDÍN DE INFANTES LA CASITA DE BELEN,Privado,Urbano,06490007,TEMPERLEY,0,0,1,6490
060220200,JARDÍN DE INFANTES Nº904 ALFONSINA STORNI,Estatal,Urbano,06686029,ROJAS,0,0,1,6686
060301400,JARDÍN DE INFANTES Nº907 DELIA INES JORDAN,Estatal,Rural,06728018,VILLA RUIZ,0,0,1,6728
060433800,JARDÍN DE INFANTES Nº904 DR. RICARDO GUTIERREZ,Estatal,Urbano,06077001,ARRECIFES,0,0,1,6077
060531100,JARDÍN DE INFANTES Nº905 ESCUELA NORMAL SUPERIOR,Estatal,Urbano,06721005,SALLIQUELO,0,0,1,6721
060592400,JARDÍN DE INFANTES Nº922,Estatal,Urbano,06357020,MAR DEL PLATA,0,0,1,6357
060659800,JARDÍN DE INFANTES NUESTRA SEÑORA DE LORETO,Privado,Urbano,06035011,SARANDI,0,0,1,6035
060809900,JARDÍN DE INFANTES DEL ENCUENTRO,Privado,Urbano,06658008,QUILMES,0,0,1,6658
060837200,JARDÍN DE INFANTES ARENITAS,Privado,Urbano,06581018,NECOCHEA,0,0,1,6581
060871700,JARDÍN DE INFANTES Nº901 MERCEDITAS,Estatal,Rural,06336003,GENERAL LAVALLE,0,0,1,6336
060928600,JARDÍN DE INFANTES SAN IGNACIO,Privado,Urbano,06791044,TANDIL,0,0,1,6791
060971500,JARDÍN DE INFANTES Nº902,Estatal,Rural,06448013,SAN JORGE,0,0,1,6448
060990900,JARDÍN DE INFANTES Nº906 DR. JUAN CARLOS CABELLO,Estatal,Urbano,06189006,CORONEL DORREGO,0,0,1,6189
061002600,JARDÍN DE INFANTES MUNICIPAL Nº40 SEBASTIAN BICCA,Estatal,Urbano,06035007,GERLI,0,0,1,6035
061112100,JARDÍN DE INFANTES Nº904 DARDO ROCHA,Estatal,Urbano,06609016,JUAN JOSE PASO,0,0,1,6609
061172900,JARDÍN DE INFANTES Nº902 GRAL JOSÉ DE SAN MARTIN,Estatal,Rural,06686026,RAFAEL OBLIGADO,0,0,1,6686
061221500,JARDÍN DE INFANTES DEL NORTE,Privado,Urbano,06756006,MARTINEZ,0,0,1,6756
061386700,JARDÍN DE INFANTES Nº911,Estatal,Urbano,06483012,LOBOS,0,0,1,6483
061644300,JARDÍN DE INFANTES MIL TRAVESURAS,Privado,Urbano,06441026,LA PLATA,0,0,1,6441
061705900,JARDÍN NUESTRA TIERRA,Privado,Urbano,06791044,TANDIL,0,0,1,6791
062037400,COLEGIO RIO DE LA PLATA SUR,Privado,Urbano,06091001,BERAZATEGUI,0,0,1,6091
062037500,JARDÍN DE INAFNTES Nº922 BARRIO LOS PIONEROS,Estatal,Urbano,06126005,CAMPANA,0,0,1,6126
062109600,JARDÍN MATERNAL UPA-LA-LA,Privado,Urbano,06441026,LA PLATA,0,0,1,6441
