id_depto,jardin,primaria,secundaria,total
42035,1023.0,1345.0,1449.0,15094.0
82014,5966.0,7096.0,8306.0,86261.0
6854,2706.0,3189.0,3782.0,35411.0
34021,1725.0,2095.0,2631.0,19275.0
14182,8748.0,10277.0,12072.0,113635.0
6693,1104.0,1342.0,1546.0,13901.0
54049,5458.0,5949.0,6138.0,45456.0
10084,988.0,1243.0,1558.0,12219.0
86035,16118.0,18598.0,20112.0,170401.0
6182,4705.0,6284.0,7493.0,65823.0
6805,32611.0,44078.0,53284.0,446291.0
30098,8632.0,10712.0,12820.0,115516.0
14154,345.0,401.0,541.0,4381.0
54035,1087.0,1156.0,1380.0,10303.0
6581,6914.0,9031.0,10861.0,101483.0
18077,1136.0,1276.0,1379.0,11946.0
18140,1862.0,2025.0,2496.0,21381.0
74021,1180.0,1490.0,1861.0,16044.0
50042,1018.0,1305.0,1302.0,12018.0
6420,7455.0,9744.0,11692.0,100400.0
6525,5973.0,7274.0,8351.0,64761.0
46098,224.0,246.0,305.0,2695.0
50098,11642.0,14861.0,15658.0,139406.0
30113,4679.0,5389.0,6314.0,55284.0
66077,966.0,1219.0,1287.0,12246.0
6134,6225.0,8115.0,8920.0,70542.0
70035,4319.0,4835.0,5830.0,44017.0
66084,596.0,775.0,884.0,7182.0
6231,1395.0,1704.0,2110.0,18328.0
30021,3847.0,4458.0,5162.0,52312.0
38014,11018.0,13356.0,15219.0,122259.0
38105,194.0,276.0,329.0,2490.0
6175,2014.0,2418.0,2994.0,27406.0
30077,3364.0,4082.0,4610.0,42954.0
62070,598.0,943.0,985.0,9309.0
6364,14137.0,18024.0,18644.0,142315.0
58021,220.0,316.0,310.0,2641.0
14042,12494.0,14299.0,16119.0,152397.0
46021,409.0,538.0,599.0,5810.0
18119,5442.0,6353.0,7503.0,56778.0
34007,1763.0,2028.0,2207.0,15600.0
6035,22784.0,31635.0,37923.0,366117.0
14168,1943.0,2217.0,2670.0,22473.0
6763,12727.0,15253.0,17817.0,166657.0
50126,3810.0,4851.0,5315.0,41168.0
74014,444.0,561.0,635.0,5575.0
18105,4965.0,5266.0,5536.0,49807.0
26049,83.0,90.0,115.0,1181.0
82007,3597.0,4246.0,4950.0,48544.0
14133,4809.0,6034.0,6847.0,62700.0
6301,1618.0,1957.0,2208.0,20674.0
90119,8420.0,10227.0,11669.0,102589.0
6408,11620.0,16075.0,19542.0,185361.0
42049,201.0,305.0,319.0,2868.0
78007,1456.0,1663.0,1783.0,15035.0
6014,950.0,1184.0,1387.0,12847.0
90098,1828.0,2270.0,2471.0,22382.0
18084,3816.0,4200.0,4751.0,38767.0
22039,745.0,783.0,880.0,8310.0
6196,1890.0,2404.0,2553.0,24110.0
6547,1922.0,2558.0,2853.0,24616.0
42063,110.0,150.0,193.0,1461.0
86119,4608.0,4781.0,6032.0,40352.0
66154,674.0,950.0,964.0,7779.0
6049,5390.0,7022.0,8263.0,75152.0
34049,8934.0,10260.0,11076.0,94116.0
38098,375.0,534.0,565.0,5298.0
86028,2758.0,3000.0,3758.0,25462.0
86091,1847.0,1990.0,2441.0,18622.0
6868,2583.0,3608.0,4460.0,37325.0
22168,3301.0,3902.0,4429.0,32606.0
70112,614.0,738.0,830.0,6454.0
6245,4917.0,6608.0,7828.0,63978.0
6515,25943.0,34313.0,40965.0,349401.0
6154,1107.0,1331.0,1492.0,14007.0
26014,2022.0,2754.0,3172.0,28099.0
46112,1310.0,1652.0,1864.0,15764.0
70063,1295.0,1488.0,1606.0,12498.0
10112,2667.0,3303.0,3905.0,33951.0
58007,878.0,1032.0,1197.0,10173.0
58035,34739.0,44946.0,49728.0,467217.0
10007,374.0,365.0,475.0,5087.0
14049,3125.0,3562.0,4456.0,36023.0
82105,6707.0,7813.0,8888.0,84617.0
6252,21900.0,27457.0,30240.0,256071.0
6270,17155.0,21962.0,24742.0,198620.0
6028,43762.0,58015.0,68125.0,583209.0
14028,5650.0,6501.0,7447.0,64748.0
34035,8070.0,9940.0,10400.0,81600.0
90014,21071.0,25245.0,28012.0,227688.0
18063,1425.0,1615.0,1937.0,17016.0
66112,4326.0,4909.0,5274.0,48028.0
42154,1321.0,1797.0,1955.0,17686.0
18014,231.0,265.0,324.0,2808.0
86021,1520.0,1820.0,2228.0,14894.0
34028,1918.0,2143.0,2420.0,17017.0
6455,1982.0,2355.0,2959.0,27136.0
86098,2152.0,2575.0,3014.0,20567.0
22043,968.0,1106.0,1238.0,10643.0
42112,1095.0,1350.0,1404.0,11636.0
14161,9114.0,10870.0,12405.0,120207.0
54042,8721.0,10328.0,11407.0,91133.0
6672,1197.0,1501.0,1779.0,16491.0
86014,2298.0,2442.0,2781.0,20104.0
